# Editable products file (pipe-separated). Header fields: name|category|rating|reviews|basePrice|amazonUrl|description
# Lines starting with # are ignored.
BioTechUSA Black Burn Fat Burner|Trainings-Performance & Aminos|4.0|82+|44.00|https://amzn.to/44VrKxc|KONZENTRIEREN SICH AUF DEN FETTSTOFFWECHSEL: Optimieren Sie Ihr fettverbrennendes Training und Ihre Ernährung mit der extremen Zusammensetzung von Black Burn.
BioTechUSA Beta-Alanine|Trainings-Performance & Aminos|3.8|29+|26.19|https://amzn.to/3YS3oRn|100% REINHEIT: Hochwertige Beta-Alanin-Aminosäure in Pulverform gewährleistet einen reinen Inhalt für die Carnosinproduktion.
Vihado Melatonin Spray|Vitamine & Mineralstoffe|4.4|6.5+|14.90|https://amzn.to/4pkFn0a|Melatonin & Schlaf-Support
Biotin hochdosiert 10.000 mcg + Selen + Zink für Haarwuchs|Vitamine & Mineralstoffe|4.4|26k+|18.97|https://amzn.to/4q3OxPS|HOCHDOSIERT: 365 kleine, vegane Tabletten für 1 Jahr zur Daueranwendung mit 10.000 mcg Biotin ergänzt mit Zink und Selen die ideale Kombination für Haut, Haarwachstum und Nägel. *VERGLEICHSSIEGER 2018 beim Verbrauchermagazin vergleich.org.
Vitamin D3 K2 5000|Vitamine & Mineralstoffe|4.7|4.5k+|16.95|https://amzn.to/4skqcXB|HOCHDOSIERT: 180 kleine vegetarische Tabletten mit 5.000 IE (internationale Einheiten) Vitamin D3 und 100 mcg Vitamin K2 (MK7 in All trans Form) pro Tablette. Eine starke Kombination für den Calciumspiegel und die Knochen.
Multivitamin Kapseln hochdosiert|Vitamine & Mineralstoffe|4.6|3.5k+|17.07|https://amzn.to/4q0zFBA|Biotin, Magnesium, Kupfer, Folsäure, Zink, Multivitamin, Jod, Chrom, Eisen, Calcium, Mangan, B12
Multivitamin Daily|Vitamine & Mineralstoffe|5.0|2+|24.96|https://amzn.to/44Qu20s|0.2 mg Folsäure 2.5 µg Mecobalamin 18 mg Nicotinamid 0.15 mg Biotin 0.08 mg Menachinon 7 80 mg Ascorbinsäure 0.8 mg Retinol 0.01 mg Colecalciferol 1.68 mg Riboflavin Calcium pantothenat Pyridoxin hydrochlorid DL-α-Tocopherol acetat Thiamin hydrochlorid
Magnesium Komplex|Vitamine & Mineralstoffe|4.5|3.7k+|15.27|https://amzn.to/49dyMOZ|HOCHDOSIERT 180 vegane teilbare Tabletten 350 mg elementares Magnesium pro Tablette für 6 Monate Dauerversorgung mit der Magnesiumverbindung aus Citrat, Oxid und Carbonat. Mix für schnelle und längerfristige Resorption.
Calcium Tabletten|Vitamine & Mineralstoffe|4.4|3.8k+|14.97|https://amzn.to/49dz7RL|HOCHDOSIERT: 400 mg des Minerals pro veganer Tablette. Mit einer Tagesdosis (2 Tabletten) nehmen Sie 100% des empfohlenen Tagesbedarfs von 800 mg an Kalzium zu sich. Calzium wird für die Erhaltung normaler Knochen und normaler Zähne benötigt.
MSM Kapseln + Vitamin C|Vitamine & Mineralstoffe|4.6|2.5k+|16.17|https://amzn.to/44RY8AR|HOCHDOSIERT: 360 Kapseln für 6 Monate Daueranwendung mit 1.334 mg MSM Pulver pro Tagesdosis. 99,9 % rein, besonders bioverfügbar und optimiert mit VITAMIN C: bessere Aufnahme und normale Kollagenbildung für normale Knochen- & Knorpelfunktion.
Omega 3 vegan & hochdosiert|Vitamine & Mineralstoffe|4.6|2k+|15.27|https://amzn.to/4qz0tJc|HOCHDOSIERT: 30 Omega 3 Weichkapseln mit 1080 mg Omega 3 Algenöl, davon 375 mg DHA und 125 mg EPA pro Kapsel. Eine Kapsel pro Tag genügt, um optimal mit Omega 3 versorgt zu sein.
Omega 3 Kapseln hochdosiert|Vitamine & Mineralstoffe|4.6|2.2k+|22.79|https://amzn.to/4sn8eUm|HOCHREINES FISCHÖL: 90 Omega 3 Weichkapseln mit 1000 mg Fischöl. Mit dem idealen hochdosierten Verhältnis von 40% EPA und 30% DHA in Triglycerid-Form, welche eine höhere Bioverfügbarkeit besitzt als die häufig verwendete Ethylester-Form. EPA und DHA tragen zu einer normalen Herzfunktion bei. DHA trägt zur Erhaltung einer normalen Gehirnfunktion und der normalen Sehkraft bei.
